team,season,yps,yards_gained,air_yards,passing_yards,receiving_yards,yards_after_catch,rushing_yards
TEN,2022,8.46,8287,3567,3227,3227,1541,2144
TEN,2023,8.58,8442,4570,3512,3512,1596,1861
WAS,2012,9.98,9810,3805,3666,3666,1643,2720
WAS,2013,9.02,9979,5193,4057,4057,1843,2167
WAS,2014,10.19,10205,4223,4461,4461,2543,1697
WAS,2015,9.97,9971,4459,4294,4294,1956,1578
WAS,2016,11.45,11413,5298,4948,4946,1969,1709
WAS,2017,9.56,9302,4153,4093,4093,2140,1458
WAS,2018,8.44,8090,4195,3287,3283,1511,1782
WAS,2019,8.61,7607,3640,3205,3205,1454,1588
WAS,2020,8.55,8898,3711,3796,3796,2187,1637
WAS,2021,8.69,9261,4118,3746,3746,1898,2070
WAS,2022,8.29,9413,4453,3783,3783,1673,2154
WAS,2023,8.96,9501,4767,4174,4174,2092,1596
