team,season,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties,wins,losses,ties
LAC,2020,4,4,0,3,5,0,7,9,0
LAC,2021,5,4,0,4,4,0,9,8,0
LAC,2022,5,3,0,5,4,0,10,7,0
LAC,2023,2,7,0,3,5,0,5,12,0
LV,2012,3,5,0,1,7,0,4,12,0
LV,2013,3,5,0,1,7,0,4,12,0
LV,2014,3,5,0,0,8,0,3,13,0
LV,2015,3,5,0,4,4,0,7,9,0
LV,2016,6,2,0,6,2,0,12,4,0
LV,2017,4,4,0,2,6,0,6,10,0
LV,2018,3,5,0,1,7,0,4,12,0
LV,2019,5,3,0,2,6,0,7,9,0
LV,2020,2,6,0,6,2,0,8,8,0
LV,2021,5,4,0,5,3,0,10,7,0
LV,2022,4,4,0,2,7,0,6,11,0
LV,2023,6,3,0,2,6,0,8,9,0
MIA,2012,5,3,0,2,6,0,7,9,0
MIA,2013,4,4,0,4,4,0,8,8,0
MIA,2014,4,4,0,4,4,0,8,8,0
MIA,2015,3,5,0,3,5,0,6,10,0
MIA,2016,6,2,0,4,4,0,10,6,0
MIA,2017,4,4,0,2,6,0,6,10,0
MIA,2018,6,2,0,1,7,0,7,9,0
MIA,2019,3,5,0,2,6,0,5,11,0
MIA,2020,5,3,0,5,3,0,10,6,0
MIA,2021,6,3,0,3,5,0,9,8,0
MIA,2022,6,2,0,3,6,0,9,8,0
MIA,2023,7,2,0,4,4,0,11,6,0
MIN,2012,7,1,0,3,5,0,10,6,0
MIN,2013,5,3,0,0,8,1,5,11,1
MIN,2014,5,3,0,2,6,0,7,9,0
MIN,2015,6,2,0,5,3,0,11,5,0
MIN,2016,5,3,0,3,5,0,8,8,0
MIN,2017,7,1,0,6,2,0,13,3,0
MIN,2018,5,3,0,3,5,1,8,8,1
MIN,2019,6,2,0,4,4,0,10,6,0
MIN,2020,3,5,0,4,4,0,7,9,0
MIN,2021,5,3,0,3,6,0,8,9,0
MIN,2022,8,1,0,5,3,0,13,4,0
MIN,2023,2,6,0,5,4,0,7,10,0
NE,2012,6,2,0,6,2,0,12,4,0
NE,2013,8,0,0,4,4,0,12,4,0
NE,2014,7,1,0,5,3,0,12,4,0
NE,2015,7,1,0,5,3,0,12,4,0
NE,2016,6,2,0,8,0,0,14,2,0
NE,2017,6,2,0,7,1,0,13,3,0
NE,2018,8,0,0,3,5,0,11,5,0
NE,2019,6,2,0,6,2,0,12,4,0
NE,2020,5,3,0,2,6,0,7,9,0
NE,2021,4,5,0,6,2,0,10,7,0
NE,2022,4,4,0,4,5,0,8,9,0
NE,2023,1,8,0,3,5,0,4,13,0
NO,2012,4,4,0,3,5,0,7,9,0
NO,2013,8,0,0,3,5,0,11,5,0
NO,2014,3,5,0,4,4,0,7,9,0
NO,2015,4,4,0,3,5,0,7,9,0
NO,2016,4,4,0,3,5,0,7,9,0
NO,2017,7,1,0,4,4,0,11,5,0
NO,2018,6,2,0,7,1,0,13,3,0
NO,2019,6,2,0,7,1,0,13,3,0
NO,2020,6,2,0,6,2,0,12,4,0
NO,2021,3,5,0,6,3,0,9,8,0
NO,2022,4,5,0,3,5,0,7,10,0
NO,2023,5,3,0,4,5,0,9,8,0
NYG,2012,6,2,0,3,5,0,9,7,0
NYG,2013,4,4,0,3,5,0,7,9,0
NYG,2014,3,5,0,3,5,0,6,10,0
NYG,2015,3,5,0,3,5,0,6,10,0
NYG,2016,7,1,0,4,4,0,11,5,0
NYG,2017,2,6,0,1,7,0,3,13,0
NYG,2018,2,6,0,3,5,0,5,11,0
NYG,2019,2,6,0,2,6,0,4,12,0
NYG,2020,3,5,0,3,5,0,6,10,0
NYG,2021,3,5,0,1,8,0,4,13,0
NYG,2022,5,4,1,4,4,0,9,8,1
NYG,2023,4,4,0,2,7,0,6,11,0
NYJ,2012,3,5,0,3,5,0,6,10,0
NYJ,2013,6,2,0,2,6,0,8,8,0
NYJ,2014,2,6,0,2,6,0,4,12,0
NYJ,2015,6,2,0,4,4,0,10,6,0
NYJ,2016,2,6,0,3,5,0,5,11,0
NYJ,2017,4,4,0,1,7,0,5,11,0
NYJ,2018,2,6,0,2,6,0,4,12,0
NYJ,2019,5,3,0,2,6,0,7,9,0
NYJ,2020,1,7,0,1,7,0,2,14,0
NYJ,2021,3,6,0,1,7,0,4,13,0
NYJ,2022,3,5,0,4,5,0,7,10,0
NYJ,2023,4,5,0,3,5,0,7,10,0
PHI,2012,2,6,0,2,6,0,4,12,0
PHI,2013,4,4,0,6,2,0,10,6,0
PHI,2014,6,2,0,4,4,0,10,6,0
PHI,2015,3,5,0,4,4,0,7,9,0
PHI,2016,6,2,0,1,7,0,7,9,0
PHI,2017,7,1,0,6,2,0,13,3,0
PHI,2018,5,3,0,4,4,0,9,7,0
PHI,2019,5,3,0,4,4,0,9,7,0
PHI,2020,3,5,1,1,7,0,4,12,1
PHI,2021,3,5,0,6,3,0,9,8,0
PHI,2022,7,2,0,7,1,0,14,3,0
PHI,2023,6,2,0,5,4,0,11,6,0
PIT,2012,5,3,0,3,5,0,8,8,0
PIT,2013,5,3,0,3,5,0,8,8,0
PIT,2014,6,2,0,5,3,0,11,5,0
PIT,2015,6,2,0,4,4,0,10,6,0
PIT,2016,6,2,0,5,3,0,11,5,0
PIT,2017,6,2,0,7,1,0,13,3,0
PIT,2018,5,3,0,4,4,1,9,7,1
PIT,2019,5,3,0,3,5,0,8,8,0
PIT,2020,7,1,0,5,3,0,12,4,0
PIT,2021,6,3,1,3,5,0,9,8,1
PIT,2022,4,4,0,5,4,0,9,8,0
PIT,2023,5,4,0,5,3,0,10,7,0
SEA,2012,8,0,0,3,5,0,11,5,0
SEA,2013,7,1,0,6,2,0,13,3,0
SEA,2014,7,1,0,5,3,0,12,4,0
SEA,2015,5,3,0,5,3,0,10,6,0
SEA,2016,7,1,0,3,5,1,10,6,1
SEA,2017,4,4,0,5,3,0,9,7,0
SEA,2018,6,2,0,4,4,0,10,6,0
SEA,2019,4,4,0,7,1,0,11,5,0
SEA,2020,7,1,0,5,3,0,12,4,0
SEA,2021,3,5,0,4,5,0,7,10,0
SEA,2022,5,4,0,4,4,0,9,8,0
SEA,2023,5,3,0,4,5,0,9,8,0
SF,2012,6,2,1,5,3,0,11,5,1
SF,2013,6,2,0,6,2,0,12,4,0
SF,2014,4,4,0,4,4,0,8,8,0
SF,2015,4,4,0,1,7,0,5,11,0
SF,2016,1,7,0,1,7,0,2,14,0
SF,2017,3,5,0,3,5,0,6,10,0
SF,2018,4,4,0,0,8,0,4,12,0
SF,2019,6,2,0,7,1,0,13,3,0
SF,2020,1,7,0,5,3,0,6,10,0
SF,2021,4,4,0,6,3,0,10,7,0
SF,2022,8,1,0,5,3,0,13,4,0
SF,2023,5,3,0,7,2,0,12,5,0
TB,2012,3,5,0,4,4,0,7,9,0
TB,2013,3,5,0,1,7,0,4,12,0
TB,2014,0,8,0,2,6,0,2,14,0
TB,2015,3,5,0,3,5,0,6,10,0
TB,2016,4,4,0,5,3,0,9,7,0
TB,2017,4,4,0,1,7,0,5,11,0
TB,2018,4,4,0,1,7,0,5,11,0
TB,2019,2,6,0,5,3,0,7,9,0
TB,2020,5,3,0,6,2,0,11,5,0
TB,2021,7,1,0,6,3,0,13,4,0
TB,2022,5,4,0,3,5,0,8,9,0
TB,2023,4,4,0,5,4,0,9,8,0
TEN,2012,4,4,0,2,6,0,6,10,0
TEN,2013,3,5,0,4,4,0,7,9,0
TEN,2014,1,7,0,1,7,0,2,14,0
TEN,2015,1,7,0,2,6,0,3,13,0
TEN,2016,5,3,0,4,4,0,9,7,0
TEN,2017,6,2,0,3,5,0,9,7,0
TEN,2018,6,2,0,3,5,0,9,7,0
TEN,2019,4,4,0,5,3,0,9,7,0
TEN,2020,5,3,0,6,2,0,11,5,0
TEN,2021,7,2,0,5,3,0,12,5,0
TEN,2022,3,5,0,4,5,0,7,10,0
TEN,2023,5,4,0,1,7,0,6,11,0
WAS,2012,5,3,0,5,3,0,10,6,0
WAS,2013,2,6,0,1,7,0,3,13,0
WAS,2014,3,5,0,1,7,0,4,12,0
WAS,2015,6,2,0,3,5,0,9,7,0
WAS,2016,4,4,0,4,4,1,8,8,1
WAS,2017,5,3,0,2,6,0,7,9,0
WAS,2018,3,5,0,4,4,0,7,9,0
WAS,2019,1,7,0,2,6,0,3,13,0
WAS,2020,3,5,0,4,4,0,7,9,0
WAS,2021,3,5,0,4,5,0,7,10,0
WAS,2022,4,5,0,4,4,1,8,9,1
WAS,2023,1,7,0,3,6,0,4,13,0
