player_id,season,total_yards,receiving_air_yards,yards_after_catch,rushing_yards,passing_yards,passing_air_yards,ypg
00-0036991,2021,56.0,40.0,24.0,11.0,0.0,0.0,14.0
00-0036991,2022,217.0,240.0,69.0,7.0,0.0,0.0,54.25
00-0036991,2023,0.0,30.0,0.0,0.0,0.0,0.0,0.0
00-0032104,2015,780.0,-2.0,203.0,597.0,0.0,0.0,48.75
00-0032104,2016,158.0,3.0,54.0,101.0,0.0,0.0,79.0
00-0032104,2017,714.0,53.0,146.0,552.0,0.0,0.0,51.0
00-0032104,2018,29.0,17.0,28.0,1.0,0.0,0.0,14.5
00-0032104,2019,203.0,9.0,79.0,115.0,0.0,0.0,18.45
00-0032104,2020,100.0,-5.0,63.0,42.0,0.0,0.0,16.67
00-0032104,2021,455.0,43.0,294.0,166.0,0.0,0.0,45.5
00-0032104,2022,231.0,95.0,195.0,20.0,0.0,0.0,17.77
00-0032104,2023,220.0,46.0,88.0,89.0,0.0,0.0,14.67
00-0036963,2021,977.0,831.0,424.0,61.0,0.0,0.0,61.06
00-0036963,2022,1270.0,933.0,531.0,95.0,0.0,0.0,79.38
00-0036963,2023,1531.0,1271.0,668.0,24.0,-8.0,0.0,95.69
00-0027094,2012,473.0,17.0,73.0,387.0,0.0,0.0,59.12
00-0027094,2013,597.0,12.0,117.0,494.0,0.0,0.0,74.62
00-0026237,2012,32.0,47.0,2.0,14.0,0.0,0.0,10.67
00-0026237,2013,207.0,416.0,41.0,7.0,0.0,0.0,17.25
00-0026237,2014,47.0,155.0,18.0,0.0,0.0,0.0,5.88
00-0026237,2015,75.0,217.0,16.0,3.0,0.0,0.0,6.25
00-0030287,2013,1023.0,248.0,260.0,652.0,0.0,0.0,68.2
00-0030287,2014,1055.0,113.0,365.0,660.0,0.0,0.0,87.92
00-0030287,2015,437.0,87.0,80.0,289.0,0.0,0.0,43.7
00-0030287,2016,181.0,56.0,72.0,96.0,0.0,0.0,13.92
00-0030287,2017,424.0,260.0,233.0,55.0,0.0,0.0,53.0
00-0028263,2012,11.0,8.0,3.0,0.0,0.0,0.0,5.5
00-0028263,2017,120.0,308.0,11.0,0.0,0.0,0.0,12.0
00-0028263,2018,162.0,313.0,50.0,0.0,0.0,0.0,16.2
00-0022044,2012,1598.0,1848.0,548.0,0.0,0.0,0.0,99.88
00-0022044,2013,1407.0,2004.0,405.0,0.0,0.0,0.0,87.94
00-0022044,2014,936.0,1358.0,389.0,0.0,0.0,0.0,62.4
00-0022044,2015,503.0,792.0,147.0,0.0,0.0,0.0,31.44
00-0022044,2016,85.0,268.0,15.0,0.0,0.0,0.0,14.17
00-0033705,2019,56.0,272.0,28.0,0.0,0.0,0.0,8.0
00-0027691,2012,788.0,1091.0,221.0,29.0,0.0,0.0,52.53
