player_id,season,team,position
00-0033936,2023,JAX,QB
00-0033367,2019,JAX,WR
00-0033367,2020,NYG,WR
00-0033367,2021,NYG,WR
00-0031302,2014,HOU,TE
00-0031302,2015,HOU,TE
00-0031302,2016,HOU,TE
00-0031302,2017,HOU,TE
00-0032393,2016,SEA,RB
00-0032393,2017,SEA,RB
00-0032393,2018,SEA,RB
00-0032393,2019,SEA,RB
00-0032393,2020,HOU,RB
00-0027861,2012,BUF,RB
00-0027861,2013,BUF,RB
00-0027861,2014,BUF,RB
00-0027861,2015,NO,RB
00-0027861,2016,NYJ,RB
00-0039163,2023,HOU,QB
00-0032134,2015,CIN,TE
00-0032134,2016,CIN,TE
00-0032134,2017,CIN,TE
00-0032134,2018,CIN,TE
00-0032134,2019,CIN,TE
00-0032134,2020,CIN,TE
00-0032134,2021,CIN,TE
00-0032134,2022,NYJ,TE
00-0032134,2023,NYJ,TE
00-0038129,2022,TB,TE
00-0038129,2023,TB,TE
00-0036829,2022,ATL,RB
00-0037837,2023,PIT,WR
00-0025389,2012,DET,WR
00-0025389,2013,DET,WR
00-0025389,2014,DET,WR
00-0025389,2015,DET,WR
00-0034837,2018,ATL,WR
00-0034837,2019,ATL,WR
00-0034837,2020,ATL,WR
00-0034837,2021,ATL,WR
00-0034837,2023,JAX,WR
00-0036414,2020,LA,RB
00-0036414,2022,LA,RB
00-0036414,2023,MIN,RB
00-0027939,2012,CAR,QB
00-0027939,2013,CAR,QB
00-0027939,2014,CAR,QB
00-0027939,2015,CAR,QB
00-0027939,2016,CAR,QB
00-0027939,2017,CAR,QB
00-0027939,2018,CAR,QB
00-0027939,2019,CAR,QB
00-0027939,2020,NE,QB
00-0027939,2021,CAR,QB
00-0034512,2018,BUF,WR
00-0034104,2019,WAS,WR
00-0034104,2020,WAS,WR
00-0034104,2021,WAS,WR
00-0034104,2022,WAS,WR
00-0031599,2015,CAR,RB
00-0031599,2016,CAR,RB
00-0031599,2017,CAR,RB
00-0031599,2018,CAR,RB
00-0034652,2018,TEN,WR
00-0034652,2020,TEN,WR
00-0034652,2021,TEN,WR
00-0031273,2014,TB,TE
00-0031273,2015,TB,TE
00-0031273,2016,TB,TE
00-0031273,2017,TB,TE
00-0031273,2018,TB,TE
00-0031273,2019,TB,TE
00-0031273,2020,TB,TE
00-0031273,2021,TB,TE
00-0031273,2022,TB,TE
00-0031912,2015,CHI,WR
00-0031912,2016,CHI,WR
00-0031912,2018,NO,WR
00-0033098,2016,BUF,QB
00-0031045,2014,SF,RB
00-0031045,2015,SF,RB
00-0031045,2016,SF,RB
00-0031045,2017,SF,RB
00-0031045,2018,JAX,RB
00-0031045,2019,HOU,RB
00-0031045,2020,SEA,RB
00-0031045,2021,JAX,RB
00-0021429,2013,ARI,QB
00-0021429,2014,ARI,QB
00-0021429,2015,ARI,QB
00-0021429,2016,ARI,QB
00-0021429,2017,ARI,QB
00-0032950,2016,PHI,QB
00-0032950,2017,PHI,QB
00-0032950,2018,PHI,QB
00-0032950,2019,PHI,QB
00-0032950,2020,PHI,QB
00-0032950,2021,IND,QB
00-0032950,2022,WAS,QB
00-0032950,2023,LA,QB
00-0028986,2013,HOU,QB
00-0028986,2016,LA,QB
00-0028986,2017,MIN,QB
00-0028986,2018,DEN,QB
00-0028986,2019,WAS,QB
00-0028986,2020,CLE,QB
00-0028986,2021,CLE,QB
00-0028986,2022,BUF,QB
00-0028986,2023,HOU,QB
00-0028052,2012,JAX,WR
00-0028052,2013,JAX,WR
00-0028052,2014,JAX,WR
00-0028052,2015,HOU,WR
00-0028052,2016,TB,WR
00-0023439,2012,GB,RB
00-0026932,2012,CIN,RB
00-0026932,2013,CIN,RB
00-0026932,2014,CIN,RB
00-0026932,2016,CIN,RB
00-0038979,2023,CLE,WR
00-0034418,2019,DAL,WR
00-0034418,2020,DAL,WR
00-0034418,2021,DAL,WR
00-0034418,2022,MIA,WR
00-0034418,2023,MIA,WR
00-0036358,2020,DAL,WR
00-0036358,2021,DAL,WR
00-0036358,2022,DAL,WR
00-0036358,2023,DAL,WR
