team,season,receiving_td,touchdown,extra_point_attempt,field_goal_attempt,pass_td,run_td,yps,yards_gained,air_yards,passing_yards,receiving_yards,yards_after_catch,rushing_yards,pass_attempts,complete_pass,incomplete_pass,interception,receptions
DET,2017,34,44,40,30,34,10,10.13,9887,4561,4470,4470,2123,1230,559,374,185,11,374
DET,2018,24,37,30,28,24,12,8.96,9090,3978,3844,3844,2059,1670,561,375,186,12,375
DET,2019,29,38,35,26,29,8,9.64,9745,5458,4187,4187,1514,1658,552,344,208,15,344
DET,2020,30,47,38,21,30,17,10.19,10011,4985,4397,4397,1884,1506,561,374,187,13,374
DET,2021,25,37,27,26,25,12,8.87,9369,3785,3884,3874,2081,1887,574,396,178,14,396
DET,2022,32,55,47,24,32,23,10.09,10912,4135,4444,4430,2271,2193,580,383,197,7,383
DET,2023,33,60,48,19,33,27,10.15,11342,4086,4606,4606,2156,2331,590,408,182,12,408
GB,2012,40,50,50,21,40,9,9.86,10115,4516,4342,4342,2086,1722,547,374,173,8,374
GB,2013,29,47,42,33,29,18,10.33,10957,4343,4538,4538,2232,2151,551,366,185,16,366
GB,2014,38,54,53,27,38,15,10.84,10649,4325,4447,4447,2092,1941,530,349,181,6,349
GB,2015,34,43,36,24,34,9,8.82,9224,4633,3825,3853,1980,1865,564,348,216,8,348
GB,2016,41,52,44,26,41,11,10.23,10368,5386,4445,4445,2043,1720,610,403,207,8,403
GB,2017,27,40,33,15,27,13,8.49,8433,4081,3532,3532,1909,1732,543,352,191,18,352
GB,2018,26,40,34,30,26,14,10.33,10546,5668,4629,4629,2197,1673,633,392,241,4,392
GB,2019,26,44,40,22,26,18,9.59,9577,5016,4017,4017,2034,1821,568,356,212,4,356
GB,2020,49,67,59,16,49,16,10.89,10544,4135,4299,4299,2248,2135,518,372,146,5,372
GB,2021,39,53,49,25,39,13,10.23,10763,4572,4526,4526,2422,1920,583,402,181,7,402
GB,2022,28,42,37,25,28,12,9.33,9662,4478,3890,3896,2016,2130,548,364,184,12,364
GB,2023,32,43,34,27,32,10,9.7,10101,4941,4210,4210,1925,1919,568,374,194,11,374
HOU,2012,22,42,45,31,22,19,9.34,10020,4415,4046,4046,1787,2144,541,354,187,13,354
HOU,2013,25,34,26,26,25,7,8.97,9742,5156,4183,4183,1652,1744,608,371,237,22,371
HOU,2014,24,36,40,30,24,12,8.64,8994,3988,3460,3460,1543,2182,469,295,174,13,295
HOU,2015,31,39,32,23,31,8,8.73,9671,5939,4079,4079,1356,1755,606,358,248,12,358
HOU,2016,16,25,22,35,16,8,8.04,8485,4974,3418,3432,1388,1874,564,347,217,16,347
HOU,2017,31,40,32,20,31,8,8.56,8769,5204,3644,3644,1410,1845,505,299,206,17,299
HOU,2018,26,38,39,37,26,12,9.73,9977,4336,4165,4165,1753,2031,491,345,146,9,345
HOU,2019,28,45,40,20,28,17,9.84,9888,4742,4083,4083,1808,2020,518,355,163,14,355
HOU,2020,34,44,37,27,34,10,11.63,10837,4862,4843,4821,1956,1476,537,383,154,7,383
HOU,2021,21,30,25,21,21,8,8.32,8365,3997,3630,3630,1723,1426,528,354,174,15,354
HOU,2022,26,36,24,29,26,9,8.38,8473,4358,3642,3642,1842,1485,559,352,207,19,352
HOU,2023,28,40,31,34,28,10,9.65,10404,5180,4578,4578,1982,1641,578,372,206,8,372
IND,2012,26,40,37,26,26,11,9.4,10190,6385,4374,4374,1656,1686,602,339,263,18,339
IND,2013,25,41,34,35,25,15,9.33,9443,4739,3952,3952,1986,1758,572,350,222,10,350
IND,2014,46,56,50,30,46,10,10.66,11586,5805,5062,5062,2391,1630,645,410,235,16,410
IND,2015,27,36,32,25,27,6,8.8,9093,5285,3928,3928,1647,1459,598,355,243,19,355
IND,2016,35,49,44,27,35,13,10.16,10346,4849,4491,4494,1803,1646,565,370,195,15,370
IND,2017,19,30,22,29,19,11,7.93,7790,3678,3226,3226,1646,1672,475,285,190,9,285
IND,2018,42,56,44,23,42,14,10.3,10805,4856,4595,4595,1976,1741,627,432,195,15,432
IND,2019,24,43,33,23,24,18,8.56,8570,4125,3314,3314,1676,2144,500,307,193,10,307
IND,2020,25,47,43,32,25,21,10.15,10257,3961,4186,4186,2249,2014,538,371,167,11,371
IND,2021,28,50,46,29,28,22,9.1,9497,4006,3588,3578,1647,2554,513,324,189,8,324
IND,2022,22,30,23,32,22,8,8.33,9163,3837,3855,3854,1791,1874,583,398,185,20,398
IND,2023,19,38,35,33,19,19,8.86,9630,4255,3882,3882,1863,2074,564,355,209,10,355
JAX,2012,25,33,18,25,25,5,8.61,8545,4996,3746,3746,1544,1374,566,328,238,17,328
JAX,2013,20,27,22,23,20,7,8.3,8455,3911,3751,3751,2078,1263,570,349,221,21,349
JAX,2014,20,30,23,20,20,9,8.19,8090,4046,3451,3451,1866,1636,538,325,213,18,325
JAX,2015,39,47,32,26,39,8,9.94,10017,5586,4428,4428,1841,1479,586,355,231,18,355
JAX,2016,27,37,29,27,27,8,8.87,9295,5155,3925,3925,1848,1638,610,369,241,16,369
JAX,2017,22,41,37,30,22,18,8.99,9593,4058,3716,3716,1932,2278,513,316,197,13,316
JAX,2018,16,23,22,23,16,7,8.25,8261,3777,3431,3423,1825,1729,523,329,194,13,329
JAX,2019,26,29,19,33,26,3,9.36,9510,4470,4023,4022,1892,1720,580,364,216,8,364
JAX,2020,25,34,24,18,25,9,9.17,9183,4847,3955,3955,1707,1523,597,387,210,16,387
JAX,2021,14,30,18,21,14,14,8.67,8878,4759,3674,3674,1639,1764,584,361,223,17,361
JAX,2022,25,41,36,30,25,16,9.61,10247,4353,4148,4151,2040,2129,585,394,191,9,394
JAX,2023,23,40,35,30,23,17,9.23,10174,4981,4377,4377,1945,1665,606,412,194,14,412
KC,2012,13,24,17,28,13,9,8.02,8050,3919,2937,2937,1261,2400,448,273,175,20,273
KC,2013,24,44,52,22,24,17,8.92,8973,3555,3561,3561,1904,2072,534,333,201,8,333
KC,2014,19,38,38,25,19,18,8.93,8533,2898,3428,3428,1894,1923,487,320,167,6,320
KC,2015,21,41,39,30,21,20,9.32,8810,3167,3493,3493,1936,2058,466,310,156,7,310
KC,2016,20,36,36,31,20,15,9.72,9437,3732,3914,3925,2076,1768,537,365,172,8,365
KC,2017,26,39,40,41,26,13,10.59,10345,4202,4326,4326,2134,1883,534,363,171,8,363
KC,2018,52,68,65,24,52,16,12.13,11950,5273,5126,5126,2628,1867,570,385,185,12,385
KC,2019,30,48,45,34,30,17,11.19,10752,4915,4690,4667,2211,1585,570,378,192,5,378
KC,2020,40,54,48,25,40,13,11.21,11684,5096,5005,5005,2455,1807,622,420,202,7,420
KC,2021,38,54,50,28,38,16,10.48,11696,4961,4937,4928,2719,1975,662,448,214,13,448
KC,2022,41,59,50,24,41,18,11.34,12301,4712,5250,5250,2827,1983,639,435,204,12,435
KC,2023,30,40,38,33,30,10,9.83,10375,4095,4383,4376,2673,1810,616,421,195,17,421
LA,2012,25,30,26,23,25,5,9.18,9065,4584,3783,3779,1540,1726,536,332,204,14,332
